City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,ilhabela,-23.7781,-45.3581,23.25,96,100,1.89,BR,1696729983
153,tabou,4.423,-7.3528,24.74,90,100,3.94,CI,1696729712
154,kudahuvadhoo,2.6708,72.8944,27.53,79,87,3.1,MV,1696729984
155,surskoye,54.4821,46.7214,8.14,82,100,8.94,RU,1696729984
156,georgetown,5.4112,100.3354,29.97,87,20,1.54,MY,1696729611
157,belmonte,-15.8631,-38.8828,24.42,86,56,3.64,BR,1696729984
158,okeho,8.0333,3.35,21.19,97,76,1.17,NG,1696729985
159,polyarnyy,69.1989,33.4478,0.73,74,100,0.97,RU,1696729437
160,lagoa,39.05,-27.9833,20.27,65,100,6.51,PT,1696729985
161,east london,-33.0153,27.9116,16.03,80,100,4.66,ZA,1696729697
162,tanout,14.9709,8.8879,28.13,36,28,4.78,NE,1696729985
163,college,64.8569,-147.8028,1.97,66,75,5.66,US,1696729473
164,tottori,35.5,134.2333,18.04,68,75,2.57,JP,1696729726
165,punta arenas,-53.15,-70.9167,4.06,87,100,5.14,CL,1696729692
166,turtas,58.9417,69.1325,7.64,97,95,2.82,RU,1696729986
167,aral,40.5156,81.2636,18.39,27,23,1.11,CN,1696729672
168,grants pass,42.439,-123.3284,29.73,41,0,0.0,US,1696729745
169,new martinsville,39.6445,-80.8576,8.39,92,39,1.79,US,1696729987
170,holualoa,19.6228,-155.9522,25.91,82,20,4.12,US,1696729703
171,san patricio,28.017,-97.5169,23.8,51,100,4.06,US,1696729670
172,westport,41.1415,-73.3579,14.2,85,100,4.63,US,1696729436
173,kalajoki,64.25,23.95,4.39,88,100,5.82,FI,1696729975
174,port mathurin,-19.6833,63.4167,23.17,81,64,9.41,MU,1696729668
175,mount isa,-20.7333,139.5,30.87,35,62,5.14,AU,1696729703
176,queenstown,-31.8976,26.8753,11.3,84,100,2.85,ZA,1696729511
177,acqui terme,44.6751,8.4675,20.37,88,0,1.02,IT,1696729988
178,la'ie,21.6477,-157.9253,30.98,68,97,1.79,US,1696729989
179,turrialba,9.9047,-83.6835,24.1,98,100,0.32,CR,1696729989
180,uturoa,-16.7333,-151.4333,26.82,81,0,6.69,PF,1696729724
181,margaret river,-33.95,115.0667,19.32,73,47,4.76,AU,1696729639
182,belvedere,33.531,-81.9448,17.33,48,0,4.12,US,1696729989
183,kerikeri,-35.2268,173.9474,13.28,92,73,1.34,NZ,1696729693
184,vuktyl,63.8567,57.3094,7.84,88,100,5.36,RU,1696729990
185,akureyri,65.6835,-18.0878,5.96,56,20,4.63,IS,1696729990
186,kiunga,-6.1219,141.2906,28.52,66,86,2.22,PG,1696729990
187,usinsk,65.9939,57.5281,6.15,91,100,2.68,RU,1696729990
188,kenai,60.5544,-151.2583,10.64,81,0,3.09,US,1696729990
189,pindi gheb,33.2402,72.2661,25.7,35,0,2.2,PK,1696729991
190,talcahuano,-36.7167,-73.1167,10.82,66,0,7.2,CL,1696729991
191,kruisfontein,-34.0033,24.7314,12.63,78,100,1.59,ZA,1696729991
192,vila franca do campo,37.7167,-25.4333,22.23,99,6,4.19,PT,1696729654
193,happy valley-goose bay,53.3168,-60.3315,15.17,82,40,1.03,CA,1696729657
194,concepcion del oro,24.6333,-101.4167,14.83,62,100,4.49,MX,1696729992
195,sanming,26.2486,117.6186,19.73,97,100,0.98,CN,1696729992
196,kolonia town,6.964,158.206,32.0,70,100,5.14,FM,1696729992
197,nar'yan-mar,67.6713,53.087,0.62,85,100,3.58,RU,1696729641
198,port alfred,-33.5906,26.891,12.88,94,100,0.45,ZA,1696729702
199,piti village,13.4626,144.6933,29.06,92,75,4.63,GU,1696729993
200,plouguerneau,48.6,-4.5,15.21,93,0,2.57,FR,1696729993
201,betma,22.6833,75.6167,20.12,88,18,0.0,IN,1696729993
202,cruzeiro do sul,-29.5128,-51.9853,18.62,86,100,3.68,BR,1696729993
203,tomatlan,19.9333,-105.25,25.55,93,100,1.02,MX,1696729994
204,kapuskasing,49.4169,-82.4331,4.05,93,100,5.66,CA,1696729721
205,espinosa,-14.9261,-42.8192,25.29,51,69,3.51,BR,1696729994
206,matoury,4.8483,-52.3317,26.98,78,0,1.03,GF,1696729994
207,lensk,60.7253,114.9278,4.84,86,14,4.02,RU,1696729994
208,marsh harbour,26.5412,-77.0636,27.84,69,7,2.89,BS,1696729995
209,yaren,-0.5472,166.916,27.83,81,98,8.87,NR,1696729995
210,la passe,45.5549,-0.8967,12.13,36,12,2.13,FR,1696729686
211,luderitz,-26.6481,15.1594,14.27,82,0,9.24,,1696729699
212,lukolela,-1.0605,17.1821,21.53,99,100,2.12,CD,1696729995
213,kete krachi,7.7939,-0.0498,24.86,88,91,3.68,GH,1696729996
214,nelson,-41.2833,173.2833,12.18,66,91,3.27,NZ,1696729864
215,taveta,-3.3963,37.6736,19.92,83,82,1.41,KE,1696729996
216,young,-32.6833,-57.6333,12.84,54,0,3.61,UY,1696729742
217,dwarka,22.2394,68.9678,26.7,72,5,3.56,IN,1696729996
218,salinopolis,-0.6136,-47.3561,26.7,84,69,4.0,BR,1696729789
219,geraldton,-28.7667,114.6,24.23,53,0,2.57,AU,1696729645
220,miri,4.4148,114.0089,30.08,70,20,0.0,MY,1696729997
221,rabo de peixe,37.8,-25.5833,21.73,99,20,6.17,PT,1696729997
222,saurimo,-9.6608,20.3916,19.45,90,100,1.18,AO,1696729998
223,kasongo-lunda,-6.4667,16.8167,21.88,96,100,0.46,CD,1696729998
224,hithadhoo,-0.6,73.0833,27.34,82,95,7.49,MV,1696729671
225,narra,9.3167,118.4,30.23,65,18,0.99,PH,1696729998
226,smidovich,48.6,133.8167,13.96,44,35,4.51,RU,1696729998
227,warren,39.4334,-84.1666,11.47,60,0,2.57,US,1696729999
228,alofi,-19.0595,-169.9187,24.94,57,100,4.12,NU,1696729651
229,codrington,-38.2667,141.9667,15.44,56,74,3.67,AU,1696729721
230,coyhaique,-45.5752,-72.0662,8.97,57,20,2.57,CL,1696729849
231,datong,40.0936,113.2914,10.95,40,1,5.17,CN,1696729999
